num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
50,197.955,320.723,0.00992506,-0.200685,0.21061,196
100,196.705,344.367,0.00359286,-0.129555,0.133148,196
150,196.715,420.986,0.00363994,0.0713374,0.0749773,196
200,197.243,411.374,0.00632373,0.048241,0.0545647,196
250,196.772,434.659,0.00393204,0.103301,0.107233,196
300,196.26,415.551,0.00132657,0.0583425,0.0596691,196
350,196.163,417.314,0.00082921,0.0625767,0.0634059,196
400,196.223,423.75,0.0011379,0.0778824,0.0790203,196
450,196.166,412.232,0.00084727,0.0503245,0.0511718,196
500,195.856,413.989,-0.000735144,0.0545775,0.0553127,196
550,195.921,409.414,-0.000400685,0.0434649,0.0438656,196
600,196.234,403.858,0.00119203,0.0298008,0.0309929,196
650,196.167,405.106,0.000851147,0.0328865,0.0337377,196
700,196.079,401.326,0.000403665,0.023513,0.0239166,196
750,196.185,385.729,0.000945151,-0.0161281,0.0170732,196
800,196.19,382.734,0.000967753,-0.0239204,0.0248881,196
850,196.084,382.554,0.000429652,-0.0243917,0.0248214,196
900,196.162,379.166,0.000824656,-0.0332873,0.034112,196
950,196.075,379.085,0.000385107,-0.0335018,0.0338869,196
1000,195.885,374.508,-0.000585364,-0.045648,0.0462334,196
1050,196.21,378.528,0.00106941,-0.0349729,0.0360423,196
1100,196.238,377.089,0.00121363,-0.0387805,0.0399941,196
1150,196.171,380.631,0.000873183,-0.0294302,0.0303034,196
1200,196.311,380.126,0.00158673,-0.0307601,0.0323468,196
1250,196.115,379.93,0.000587409,-0.0312737,0.0318611,196
1300,196.319,379.032,0.0016264,-0.0336421,0.0352685,196
1350,196.289,382.887,0.00147403,-0.0235232,0.0249972,196
1400,196.332,384.365,0.00169357,-0.0196702,0.0213638,196
1450,196.358,382.454,0.0018228,-0.0246545,0.0264773,196
1500,196.413,384.931,0.00210361,-0.0181985,0.0203021,196
1550,196.455,380.714,0.00231752,-0.0292141,0.0315316,196
1600,196.531,381.595,0.00270336,-0.0269028,0.0296061,196
1650,196.551,385.963,0.00280554,-0.0155215,0.018327,196
1700,196.647,392.554,0.00329555,0.00141303,0.00470858,196
1750,196.678,394.144,0.00345122,0.0054539,0.00890512,196
1800,196.611,392.28,0.00311289,0.000713768,0.00382665,196
1850,196.636,395.436,0.00323945,0.00872627,0.0119657,196
1900,196.678,391.328,0.00345416,-0.00171649,0.00517065,196
1950,196.706,390.887,0.00359324,-0.0028443,0.00643754,196
2000,196.677,388.483,0.00344818,-0.0090135,0.0124617,196
2050,196.696,386.915,0.00354266,-0.0130572,0.0165999,196
2100,196.799,387.854,0.00406694,-0.0106323,0.0146992,196
2150,196.853,389.258,0.00434412,-0.00701829,0.0113624,196
2200,196.925,390.398,0.00470939,-0.00409483,0.00880422,196
2250,196.797,388.192,0.00405984,-0.0097626,0.0138224,196
2300,196.748,388.102,0.00380945,-0.00999462,0.0138041,196
2350,196.716,390.871,0.00364669,-0.0028854,0.00653209,196
2400,196.759,391.087,0.0038634,-0.00233137,0.00619477,196
2450,196.671,388.917,0.00341741,-0.0078946,0.011312,196
2500,196.676,387.624,0.00344295,-0.0112258,0.0146687,196
2550,196.621,387.817,0.00316139,-0.010729,0.0138904,196
2600,196.505,385.986,0.00257226,-0.0154601,0.0180324,196
2650,196.489,384.299,0.00248949,-0.0198399,0.0223294,196
2700,196.479,382.754,0.00244,-0.0238705,0.0263105,196
2750,196.461,382.705,0.00235168,-0.0239967,0.0263484,196
2800,196.505,381.828,0.00257135,-0.0262928,0.0288642,196
2850,196.478,381.095,0.00243814,-0.0282139,0.0306521,196
2900,196.441,380.187,0.00224957,-0.0305977,0.0328473,196
2950,196.437,380.633,0.00222919,-0.0294249,0.0316541,196
3000,196.42,380.107,0.00214206,-0.0308083,0.0329504,196
3050,196.436,380.198,0.00221961,-0.0305695,0.0327891,196
3100,196.478,379.163,0.00243717,-0.0332961,0.0357333,196
3150,196.478,378.835,0.00243751,-0.0341611,0.0365986,196
3200,196.464,380.867,0.0023669,-0.0288119,0.0311788,196
3250,196.393,380.96,0.00200378,-0.0285684,0.0305722,196
3300,196.436,382.78,0.00222142,-0.0238019,0.0260233,196
3350,196.425,382.342,0.00216454,-0.0249458,0.0271104,196
3400,196.369,383.015,0.00187886,-0.0231878,0.0250667,196
3450,196.381,382.411,0.0019434,-0.0247667,0.0267101,196
3500,196.423,385.061,0.00215658,-0.0178604,0.0200169,196
3550,196.414,383.925,0.0021122,-0.020814,0.0229262,196
3600,196.469,386.437,0.00239219,-0.0142942,0.0166863,196
3650,196.459,385.274,0.00233972,-0.0173083,0.019648,196
3700,196.551,385.432,0.0028063,-0.0168969,0.0197032,196
3750,196.612,384.734,0.00311824,-0.0187096,0.0218279,196
3800,196.555,385.154,0.00282528,-0.0176196,0.0204449,196
3850,196.603,384.977,0.00307298,-0.0180794,0.0211524,196
3900,196.524,385.79,0.00267123,-0.0159684,0.0186396,196
3950,196.528,385.082,0.0026887,-0.0178045,0.0204932,196
4000,196.544,384.582,0.00276994,-0.0191046,0.0218745,196
4050,196.513,383.301,0.00261334,-0.0224417,0.025055,196
4100,196.481,382.828,0.00244874,-0.0236753,0.026124,196
4150,196.458,382.934,0.00233568,-0.0233997,0.0257354,196
4200,196.497,384.66,0.0025302,-0.0189027,0.0214329,196
4250,196.495,387.883,0.0025246,-0.0105572,0.0130818,196
4300,196.497,387.431,0.00253405,-0.011724,0.014258,196
4350,196.529,388.624,0.00269655,-0.00864919,0.0113457,196
4400,196.511,387.838,0.00260392,-0.0106742,0.0132781,196
4450,196.45,386.927,0.00229162,-0.0130257,0.0153173,196
4500,196.478,387.479,0.0024367,-0.0115996,0.0140363,196
4550,196.462,388.546,0.00235416,-0.00884901,0.0112032,196
4600,196.469,388.031,0.00239186,-0.0101766,0.0125684,196
4650,196.461,387.428,0.00234918,-0.0117315,0.0140807,196
4700,196.506,386.799,0.00257734,-0.013357,0.0159343,196
4750,196.481,385.374,0.0024528,-0.0170473,0.0195001,196
4800,196.563,386.407,0.00286762,-0.0143712,0.0172388,196
4850,196.482,388.242,0.00245461,-0.00963264,0.0120873,196
4900,196.5,387.206,0.00254811,-0.0123047,0.0148529,196
4950,196.502,387.764,0.00255945,-0.0108659,0.0134253,196
5000,196.497,386.713,0.00253272,-0.0135778,0.0161105,196
5050,196.51,386.91,0.00259848,-0.0130704,0.0156689,196
5100,196.565,387.367,0.00287657,-0.0118893,0.0147658,196
5150,196.494,388.067,0.00251975,-0.0100828,0.0126025,196
5200,196.493,388.528,0.00251307,-0.00889717,0.0114102,196
5250,196.476,388.797,0.00242704,-0.00820461,0.0106317,196
5300,196.45,388.077,0.00229456,-0.0100578,0.0123524,196
5350,196.475,388.071,0.00242103,-0.0100733,0.0124944,196
5400,196.469,387.391,0.00239235,-0.0118279,0.0142203,196
5450,196.442,387.198,0.0022514,-0.012325,0.0145764,196
5500,196.429,387.754,0.00218817,-0.0108919,0.0130801,196
5550,196.405,386.992,0.00206216,-0.0128567,0.0149188,196
5600,196.36,386.743,0.0018326,-0.0135018,0.0153344,196
5650,196.365,386.929,0.00186246,-0.013021,0.0148835,196
5700,196.378,388.01,0.00192657,-0.0102314,0.012158,196
5750,196.37,389.287,0.00188459,-0.00694568,0.00883027,196
5800,196.379,388.426,0.00193072,-0.00915965,0.0110904,196
5850,196.388,387.94,0.00197729,-0.0104116,0.0123889,196
5900,196.362,388.241,0.00184725,-0.00963565,0.0114829,196
5950,196.366,388.099,0.00186337,-0.0100004,0.0118638,196
6000,196.366,387.983,0.00186777,-0.0103014,0.0121692,196
6050,196.361,388.183,0.00183959,-0.00978597,0.0116256,196
6100,196.308,388.716,0.00156958,-0.00841249,0.00998207,196
6150,196.31,389.428,0.00158062,-0.00658158,0.0081622,196
6200,196.309,388.934,0.00157374,-0.00785128,0.00942502,196
6250,196.301,388.282,0.00153205,-0.00952908,0.0110611,196
6300,196.331,389.2,0.00168768,-0.00716814,0.00885582,196
6350,196.277,389.941,0.0014131,-0.00526706,0.00668016,196
6400,196.277,390.146,0.0014129,-0.00474149,0.00615439,196
6450,196.266,390.31,0.0013587,-0.00432062,0.00567931,196
6500,196.277,389.553,0.00141374,-0.00626259,0.00767633,196
6550,196.265,389.649,0.0013535,-0.00601669,0.00737019,196
6600,196.261,389.716,0.00133178,-0.00584424,0.00717602,196
6650,196.229,390.37,0.0011654,-0.00416575,0.00533114,196
6700,196.194,390.237,0.000987349,-0.00450787,0.00549522,196
6750,196.201,390.451,0.00102416,-0.0039594,0.00498357,196
6800,196.224,389.736,0.00114159,-0.00579264,0.00693424,196
6850,196.213,389.647,0.0010881,-0.00602011,0.00710821,196
6900,196.183,389.86,0.000935438,-0.00547312,0.00640856,196
6950,196.151,389,0.000769139,-0.00768349,0.00845263,196
7000,196.155,388.378,0.000792861,-0.00928156,0.0100744,196
7050,196.15,389.251,0.000762958,-0.00703794,0.0078009,196
7100,196.174,389.677,0.000888696,-0.00594415,0.00683284,196
7150,196.168,390.019,0.0008569,-0.0050664,0.0059233,196
7200,196.168,389.996,0.000858715,-0.0051246,0.00598331,196
7250,196.159,390.391,0.000812172,-0.00411335,0.00492552,196
7300,196.16,390.407,0.000816446,-0.00407312,0.00488956,196
7350,196.148,390.105,0.00075249,-0.00484625,0.00559874,196
7400,196.15,389.968,0.000764827,-0.00519593,0.00596076,196
7450,196.133,390.189,0.000680407,-0.00462941,0.00530981,196
7500,196.137,390.94,0.000697223,-0.00270762,0.00340484,196
7550,196.151,390.84,0.000769564,-0.00296259,0.00373215,196
7600,196.154,390.566,0.000783308,-0.00366439,0.0044477,196
7650,196.18,390.278,0.000919141,-0.0044016,0.00532074,196
7700,196.196,390.906,0.000999885,-0.00279557,0.00379546,196
7750,196.228,392.069,0.00116167,0.000174885,0.00133656,196
7800,196.237,392.523,0.00121017,0.00133245,0.00254262,196
7850,196.256,392.62,0.00130437,0.00158012,0.0028845,196
7900,196.258,391.825,0.00131338,-0.000445857,0.00175924,196
7950,196.277,391.765,0.00141053,-0.00060059,0.00201112,196
8000,196.264,392.147,0.00134576,0.000375918,0.00172167,196
8050,196.248,391.928,0.00126475,-0.000182758,0.00144751,196
8100,196.254,392.777,0.00129534,0.00198064,0.00327598,196
8150,196.269,394.449,0.00136984,0.00622919,0.00759902,196
8200,196.271,394.205,0.00138024,0.00560831,0.00698855,196
8250,196.23,394.106,0.00117038,0.00535763,0.00652801,196
8300,196.218,393.875,0.00110922,0.00477254,0.00588176,196
8350,196.242,394.092,0.00123641,0.00532303,0.00655944,196
8400,196.241,393.39,0.00122806,0.00354061,0.00476867,196
8450,196.221,393.506,0.00112942,0.00383394,0.00496337,196
8500,196.224,393.989,0.00114019,0.00506237,0.00620255,196
8550,196.209,394.164,0.00106347,0.0055043,0.00656777,196
8600,196.22,394.795,0.00112391,0.00710488,0.00822879,196
8650,196.234,394.469,0.00119422,0.0062794,0.00747362,196
8700,196.255,394.464,0.00130108,0.00626536,0.00756643,196
8750,196.248,394.451,0.00126374,0.00623293,0.00749667,196
8800,196.254,394.069,0.00129434,0.00526417,0.00655852,196
8850,196.259,393.945,0.00131859,0.00494939,0.00626798,196
8900,196.235,393.378,0.00119716,0.00350931,0.00470647,196
8950,196.232,393,0.00118166,0.00254705,0.00372871,196
9000,196.23,392.027,0.00117234,6.90797e-05,0.00124142,196
9050,196.23,392.368,0.00117193,0.000938245,0.00211018,196
9100,196.221,392.412,0.0011272,0.00105015,0.00217735,196
9150,196.205,392.082,0.00104655,0.000208851,0.0012554,196
9200,196.194,392.107,0.000989259,0.000272129,0.00126139,196
9250,196.196,392.135,0.00099971,0.000343447,0.00134316,196
9300,196.193,392.212,0.000985439,0.000540838,0.00152628,196
9350,196.189,392.376,0.000966057,0.000958723,0.00192478,196
9400,196.19,392.336,0.000971321,0.000857284,0.00182861,196
9450,196.168,391.984,0.000856845,-3.95774e-05,0.000896423,196
9500,196.167,391.477,0.00085274,-0.00133549,0.00218823,196
9550,196.168,391.308,0.000859076,-0.0017664,0.00262547,196
9600,196.168,390.552,0.000855845,-0.00370167,0.00455751,196
9650,196.141,390.147,0.00071821,-0.00473772,0.00545593,196
9700,196.171,390.648,0.000873878,-0.00345533,0.00432921,196
9750,196.16,390.382,0.000813783,-0.00413551,0.00494929,196
9800,196.167,390.235,0.000850583,-0.00451262,0.0053632,196
9850,196.173,389.671,0.00088179,-0.00595978,0.00684157,196
9900,196.186,390.108,0.000950637,-0.00483736,0.005788,196
9950,196.194,389.782,0.000988487,-0.00567445,0.00666293,196
10000,196.196,389.505,0.000998256,-0.00638444,0.0073827,196
10050,196.202,389.345,0.00103184,-0.00679608,0.00782792,196
10100,196.194,389.107,0.000989153,-0.00740821,0.00839736,196
10150,196.189,388.505,0.000964864,-0.00895543,0.0099203,196
10200,196.177,388.302,0.00090427,-0.00947946,0.0103837,196
10250,196.174,387.804,0.000887354,-0.010761,0.0116483,196
10300,196.184,388.023,0.00093629,-0.0101966,0.0111329,196
10350,196.176,387.963,0.000895256,-0.0103517,0.0112469,196
10400,196.159,387.117,0.000808867,-0.012534,0.0133429,196
10450,196.147,387.288,0.000749801,-0.0120931,0.0128429,196
10500,196.13,387.812,0.000665036,-0.0107414,0.0114064,196
10550,196.125,388.191,0.00063995,-0.00976524,0.0104052,196
10600,196.148,388.243,0.00075302,-0.00963131,0.0103843,196
10650,196.144,388.123,0.000733846,-0.00993848,0.0106723,196
10700,196.145,387.384,0.000738156,-0.0118443,0.0125825,196
10750,196.148,387.283,0.000755486,-0.0121065,0.012862,196
10800,196.153,387.901,0.000782384,-0.0105112,0.0112935,196
10850,196.15,387.962,0.000765051,-0.0103556,0.0111207,196
10900,196.131,387.34,0.000667518,-0.0119595,0.0126271,196
10950,196.14,387.429,0.000713032,-0.0117293,0.0124423,196
11000,196.121,387.142,0.000619407,-0.0124705,0.0130899,196
11050,196.145,387.228,0.000739772,-0.012248,0.0129878,196
11100,196.14,387.694,0.000712748,-0.0110455,0.0117582,196
11150,196.123,387.599,0.000629066,-0.0112905,0.0119196,196
11200,196.119,388.033,0.000605553,-0.0101712,0.0107767,196
11250,196.084,387.775,0.000427361,-0.0108374,0.0112647,196
11300,196.085,387.544,0.00043106,-0.0114327,0.0118638,196
11350,196.067,388.13,0.000343184,-0.00992252,0.0102657,196
11400,196.051,388.295,0.000257843,-0.00949607,0.00975391,196
11450,196.045,388.563,0.00022768,-0.00880678,0.00903447,196
11500,196.039,389.059,0.000197436,-0.00753196,0.0077294,196
11550,196.046,388.982,0.000235505,-0.00772877,0.00796427,196
11600,196.051,388.409,0.000261855,-0.00920353,0.00946539,196
11650,196.057,388.353,0.00028961,-0.00934636,0.00963597,196
11700,196.068,388.657,0.000348667,-0.00856386,0.00891253,196
11750,196.044,388.743,0.000226359,-0.00834375,0.00857011,196
11800,196.036,388.347,0.000185817,-0.00936297,0.00954879,196
11850,196.015,388.469,7.671e-05,-0.0090497,0.00912641,196
11900,196.004,388.562,2.27286e-05,-0.00880878,0.0088315,196
11950,196.026,388.875,0.000133167,-0.00800263,0.0081358,196
12000,196.017,388.915,8.7714e-05,-0.00789981,0.00798752,196
12050,196,388.965,1.28926e-06,-0.00777238,0.00777367,196
12100,195.993,388.66,-3.33781e-05,-0.00855628,0.00858966,196
12150,196.006,388.475,2.93424e-05,-0.00903302,0.00906237,196
12200,196.002,388.314,8.52714e-06,-0.00944633,0.00945485,196
12250,195.993,387.789,-3.40704e-05,-0.0108005,0.0108346,196
12300,195.979,387.71,-0.000109307,-0.0110033,0.0111126,196
12350,195.991,387.786,-4.35714e-05,-0.0108085,0.0108521,196
12400,195.991,388.239,-4.51131e-05,-0.009641,0.00968611,196
12450,195.975,388.384,-0.000126623,-0.00926676,0.00939338,196
12500,195.967,388.534,-0.000166481,-0.00888208,0.00904856,196
12550,195.979,388.853,-0.000109474,-0.00805959,0.00816907,196
12600,195.971,388.788,-0.000147037,-0.00822763,0.00837467,196
12650,195.962,389.321,-0.000194519,-0.00685835,0.00705287,196
12700,195.965,389.065,-0.000180662,-0.00751536,0.00769602,196
12750,195.975,389.699,-0.000128544,-0.00588695,0.00601549,196
12800,195.981,389.805,-9.52984e-05,-0.00561559,0.00571089,196
12850,195.962,389.978,-0.000195832,-0.00517178,0.00536762,196
12900,195.975,389.995,-0.00012889,-0.00512708,0.00525597,196
12950,195.959,389.805,-0.000209144,-0.0056162,0.00582534,196
13000,195.936,389.877,-0.000324821,-0.00543052,0.00575534,196
13050,195.925,389.415,-0.000384678,-0.00661645,0.00700113,196
13100,195.934,388.898,-0.000335377,-0.00794543,0.0082808,196
13150,195.934,388.955,-0.00033689,-0.00779888,0.00813577,196
13200,195.946,388.774,-0.000276874,-0.00826345,0.00854032,196
13250,195.94,388.68,-0.000307743,-0.00850592,0.00881366,196
13300,195.948,388.359,-0.000262805,-0.00933268,0.00959549,196
13350,195.949,388.481,-0.000257789,-0.00901658,0.00927437,196
13400,195.938,387.985,-0.000317077,-0.010294,0.0106111,196
13450,195.906,388.053,-0.00047995,-0.0101207,0.0106007,196
13500,195.922,388.633,-0.000395629,-0.00862557,0.0090212,196
13550,195.919,388.317,-0.000412863,-0.00943866,0.00985152,196
13600,195.915,388.093,-0.000434532,-0.0100166,0.0104511,196
13650,195.919,388.172,-0.000415734,-0.00981409,0.0102298,196
13700,195.908,388.271,-0.000471125,-0.00955802,0.0100291,196
13750,195.893,388.371,-0.000544119,-0.00930026,0.00984437,196
13800,195.887,387.951,-0.000575846,-0.0103822,0.010958,196
13850,195.887,388.189,-0.000574701,-0.00976832,0.010343,196
13900,195.873,388.6,-0.000648377,-0.00871191,0.00936029,196
13950,195.863,388.317,-0.000701224,-0.00944052,0.0101417,196
14000,195.869,388.169,-0.000667435,-0.00982046,0.0104879,196
14050,195.873,387.899,-0.000647908,-0.010518,0.0111659,196
14100,195.876,387.931,-0.000630707,-0.0104349,0.0110656,196
14150,195.853,387.763,-0.000751019,-0.010868,0.011619,196
14200,195.847,387.533,-0.000779063,-0.0114617,0.0122407,196
14250,195.856,387.119,-0.000737128,-0.0125288,0.0132659,196
14300,195.856,387.263,-0.00073323,-0.0121576,0.0128909,196
14350,195.849,387.572,-0.000768557,-0.0113594,0.0121279,196
14400,195.847,387.816,-0.000781964,-0.0107305,0.0115125,196
14450,195.85,388.114,-0.000766118,-0.00996257,0.0107287,196
14500,195.865,388.445,-0.000688901,-0.00911123,0.00980013,196
14550,195.87,388.394,-0.000663727,-0.00924114,0.00990486,196
14600,195.865,388.055,-0.000686462,-0.0101149,0.0108014,196
14650,195.883,388.104,-0.000596117,-0.00998758,0.0105837,196
14700,195.894,388.22,-0.00053882,-0.00968891,0.0102277,196
14750,195.889,387.882,-0.000565486,-0.0105614,0.0111268,196
14800,195.895,388.576,-0.000535417,-0.00877284,0.00930826,196
14850,195.899,388.637,-0.000515652,-0.00861732,0.00913297,196
14900,195.9,389.075,-0.000512596,-0.00749088,0.00800348,196
14950,195.898,389.422,-0.000518327,-0.00659922,0.00711755,196
15000,195.905,389.465,-0.000484301,-0.00648683,0.00697113,196
15050,195.903,389.626,-0.000497366,-0.0060744,0.00657176,196
15100,195.903,389.753,-0.000497063,-0.00574939,0.00624646,196
15150,195.907,389.511,-0.000474067,-0.0063697,0.00684377,196
15200,195.916,389.282,-0.000426194,-0.00695684,0.00738304,196
15250,195.901,389.501,-0.000502906,-0.00639524,0.00689815,196
15300,195.9,389.104,-0.000510166,-0.00741639,0.00792656,196
15350,195.893,389.528,-0.000545398,-0.00632544,0.00687084,196
