run,t,x,y,vx,vy
0,0,0,0,1,1
0,1,0.826016,1.16298,1.14983,1.4327
0,2,1.7101,1.96074,0.364134,0.844176
0,3,3.12413,2.70619,1.02524,0.949561
0,4,4.00703,3.86473,0.831839,0.962854
0,5,5.07022,4.75717,1.04505,0.989043
0,6,6.35868,5.96688,0.833956,1.60482
0,7,6.35915,7.35396,1.24638,0.651833
0,8,8.35738,8.11798,0.877797,0.633597
0,9,9.179,8.77725,0.564296,0.888345
0,10,9.85408,10.0211,0.944258,1.37972
0,11,11.2208,10.9457,0.713148,1.37584
0,12,12.2484,12.8398,1.08331,1.51913
0,13,13.1457,13.0272,0.522552,1.22814
0,14,13.7333,13.8377,0.986234,0.91295
0,15,14.5058,14.7484,1.29425,1.21431
0,16,16.2208,16.0549,1.20941,1.07624
0,17,16.9468,17.3683,0.922295,0.756631
0,18,18.3833,18.39,0.502252,1.20172
0,19,18.3536,19.3382,0.704744,1.24797
1,0,0,0,1,1
1,1,0.69644,0.997601,0.913876,0.90774
1,2,2.03857,1.84353,0.53154,1.17813
1,3,3.19179,2.98655,1.63297,1.23581
1,4,3.61973,4.09288,1.56839,0.687466
1,5,4.57221,5.536,1.04879,1.3312
1,6,5.65536,5.932,0.783956,0.807562
1,7,6.80939,7.33932,0.534845,0.334839
1,8,7.88334,8.11231,1.30653,0.9154
1,9,8.97031,8.61984,0.535211,1.21513
1,10,10.0908,9.89109,1.02074,1.26662
1,11,11.2755,10.4954,0.813183,1.40518
1,12,11.8056,12.0282,1.46485,0.893064
1,13,13.456,13.026,1.23821,0.944904
1,14,13.9133,14.0382,1.04547,0.993839
1,15,15.2768,15.0551,0.936819,1.14188
1,16,15.836,15.4928,1.23702,1.01193
1,17,16.9008,17.1919,1.07992,1.23284
1,18,17.9461,18.0961,1.66148,0.977832
1,19,18.4327,19.0747,0.66519,1.21072
2,0,0,0,1,1
2,1,0.85269,0.978777,0.636693,1.14719
2,2,1.67284,1.72589,0.631544,1.30489
2,3,3.37809,3.16652,0.589719,1.04117
2,4,4.17693,3.75587,1.09563,0.205642
2,5,4.98972,4.81706,0.863485,0.761312
2,6,6.11119,6.13135,1.34757,0.883926
2,7,7.23083,6.92185,0.970843,0.507234
2,8,7.63754,8.20204,0.610254,1.2729
2,9,8.18495,9.1024,1.09455,0.978723
2,10,10.2183,9.80872,1.43865,1.23059
2,11,11.1543,10.8519,1.03332,1.14084
2,12,12.301,12.1365,1.51766,1.29372
2,13,12.5544,12.7829,1.31364,1.04018
2,14,14.2605,14.1092,1.68639,0.953614
2,15,14.7915,14.8151,1.14867,1.2821
2,16,16.2045,16.3509,0.752571,0.784649
2,17,17.2406,17.1976,0.855563,0.894605
2,18,18.1765,18.4403,1.13921,0.604914
2,19,19.1891,19.134,0.833601,0.870996
3,0,0,0,1,1
3,1,1.33723,0.615599,1.16986,0.970332
3,2,1.98743,2.27255,0.730928,1.43904
3,3,3.16021,2.93108,1.38233,1.1322
3,4,3.8239,4.21689,1.61492,1.32141
3,5,5.25067,5.0327,0.766945,1.16101
3,6,5.85797,6.42307,1.18085,1.02398
3,7,7.15946,6.88401,1.3858,0.855326
3,8,7.38341,8.44832,1.13572,0.866972
3,9,9.27891,8.62872,0.812794,1.04337
3,10,9.74682,10.4626,0.94416,0.536188
3,11,11.491,11.0833,1.24776,1.16345
3,12,12.3554,12.4823,1.52915,0.916667
3,13,12.9915,13.692,1.28766,1.06649
3,14,14.5662,14.0693,0.836185,0.956906
3,15,15.1022,14.7468,0.62381,1.04928
3,16,16.0618,15.6442,1.95159,1.55662
3,17,16.7075,17.2873,1.34315,0.82839
3,18,17.7132,18.1265,1.13592,1.12961
3,19,19.5949,18.9585,1.32281,0.746123
4,0,0,0,1,1
4,1,1.27014,0.645193,0.936966,0.754586
4,2,2.16981,1.80855,0.90541,0.954753
4,3,3.13452,2.70455,1.01587,0.606855
4,4,3.5098,4.10524,0.908173,1.11222
4,5,5.20175,4.98081,0.91147,0.600538
4,6,5.45995,5.904,0.543312,1.47056
4,7,7.58468,6.43537,1.32659,0.923053
4,8,8.32932,8.03089,1.07686,0.86947
4,9,9.2401,9.29807,0.674352,1.01657
4,10,9.91169,10.4375,1.23969,0.975583
4,11,11.0644,10.8256,1.0167,0.89689
4,12,11.7352,11.7428,1.44645,1.30459
4,13,12.897,13.3473,0.536117,1.10043
4,14,14.3146,13.5846,0.775351,1.0737
4,15,15.2443,14.6725,0.641612,0.732133
4,16,16.1501,16.0973,1.1283,0.468992
4,17,16.9016,16.5706,1.25807,1.3213
4,18,18.4698,18.4818,0.741367,0.764842
4,19,19.5605,19.3317,0.760478,1.14038
5,0,0,0,1,1
5,1,0.859863,1.35427,0.495587,0.727789
5,2,2.20108,1.59694,0.208798,1.11039
5,3,3.39499,2.78106,0.760341,1.30518
5,4,4.0291,4.60943,1.07072,0.281026
5,5,4.83659,5.11418,1.32708,1.0415
5,6,6.28131,5.98731,0.355933,0.800089
5,7,7.10716,7.10184,1.18752,0.934679
5,8,8.10222,7.3914,0.717925,0.814163
5,9,8.74944,9.23458,0.960731,0.750808
5,10,9.60714,9.54282,1.27491,1.26581
5,11,10.6475,11.2989,0.950248,1.24978
5,12,12.1358,11.6684,1.02426,1.13317
5,13,12.6599,13.1517,1.14254,0.9596
5,14,13.7688,14.1251,1.35898,0.662157
5,15,14.4841,15.3823,0.885879,1.64301
5,16,15.7572,15.717,1.02336,1.24018
5,17,16.6753,17.1945,1.1994,0.374364
5,18,18.5217,17.5358,0.998401,1.69624
5,19,18.1901,18.9196,0.549771,0.512527
6,0,0,0,1,1
6,1,0.490272,0.839534,0.792134,1.10281
6,2,1.96859,2.14038,1.52792,0.956338
6,3,3.64561,2.79503,1.11733,1.18866
6,4,4.36076,3.76805,1.36647,0.998475
6,5,5.06365,5.18068,0.0844776,1.28873
6,6,5.69677,6.14893,0.549586,0.702941
6,7,7.39333,6.68133,1.04401,0.639957
6,8,8.05332,7.8547,0.700018,0.356182
6,9,8.83169,9.09999,0.963616,0.581688
6,10,9.9207,10.2339,1.43496,1.03909
6,11,11.0914,10.5906,1.15506,1.28528
6,12,11.8712,12.9202,1.01347,1.43673
6,13,12.6446,12.9231,1.30671,0.739656
6,14,13.6083,13.6023,0.716556,1.18837
6,15,15.1897,15.1206,0.894822,1.31134
6,16,16.2136,16.3121,0.969134,0.821591
6,17,17.327,16.5702,0.862574,0.612649
6,18,17.9676,17.6045,1.12939,0.883532
6,19,18.5533,18.4101,1.18647,1.13847
7,0,0,0,1,1
7,1,1.50473,0.949297,1.19126,0.777315
7,2,1.96218,1.98525,0.758192,1.18298
7,3,2.65761,3.39696,0.60106,0.869099
7,4,3.70566,3.88938,1.23203,1.06366
7,5,5.67303,4.98171,1.20319,0.997208
7,6,5.75524,6.25613,0.871237,0.723336
7,7,7.12997,6.85256,1.03068,1.13723
7,8,7.85,8.1104,0.779046,1.09683
7,9,8.56891,9.06992,1.09219,1.2839
7,10,10.0811,10.1513,1.11262,1.70684
7,11,10.7072,10.4732,1.06657,1.12068
7,12,12.1399,12.095,1.13158,0.801417
7,13,13.1582,12.8376,0.650917,0.715303
7,14,14.0312,14.2803,0.928725,0.987167
7,15,14.7716,15.0219,0.356204,1.57873
7,16,15.7468,15.9555,1.01796,1.39915
7,17,16.4643,17.3173,1.17706,1.35717
7,18,17.4028,17.2258,0.87055,1.39293
7,19,19.4553,19.2371,0.951891,0.27274
8,0,0,0,1,1
8,1,0.917069,1.01905,0.805576,1.2316
8,2,1.79319,1.40437,1.08425,0.675171
8,3,2.68299,2.74968,0.804415,1.00716
8,4,4.27377,3.62402,0.82037,1.38325
8,5,5.21329,4.8698,1.60689,1.09035
8,6,6.36206,5.62213,0.722644,0.789269
8,7,7.10591,7.17647,0.430764,0.878945
8,8,8.22368,7.68471,0.445984,1.04995
8,9,9.00428,9.1156,0.919843,1.34203
8,10,9.34325,10.127,1.65656,0.892363
8,11,11.3014,11.3136,0.802005,0.745003
8,12,12.4728,12.5242,1.1107,0.805293
8,13,12.8265,13.5143,0.858404,1.16849
8,14,14.3309,14.0811,1.0931,0.533547
8,15,14.5748,14.7696,1.22426,1.08796
8,16,15.822,15.9479,1.29225,0.746387
8,17,17.2648,17.0494,1.22453,0.509073
8,18,18.1944,18.0096,0.833199,1.47588
8,19,18.5131,19.1154,1.03425,0.45727
9,0,0,0,1,1
9,1,1.03461,0.349658,1.0231,1.21403
9,2,2.00525,2.18449,1.05205,1.40602
9,3,3.16269,3.13983,1.14339,0.6814
9,4,3.67615,4.03165,0.651107,1.11431
9,5,4.85029,4.85966,0.922203,1.54647
9,6,5.86479,5.97534,0.862247,1.66382
9,7,7.34169,6.90353,0.801507,1.07206
9,8,8.33398,8.25171,1.26138,0.639822
9,9,8.86927,8.52037,0.71943,1.55662
9,10,10.1548,10.1222,1.02464,1.06042
9,11,10.9361,10.8694,0.842468,0.733426
9,12,12.0652,11.9937,0.713525,1.1613
9,13,12.6608,13.1871,1.45645,1.34273
9,14,14.0661,13.9378,0.911086,0.936829
9,15,14.938,14.8652,0.779519,1.35626
9,16,15.9151,16.1643,0.827436,0.953322
9,17,17.1711,16.448,1.16552,0.878376
9,18,18.2019,17.9992,1.0921,0.600365
9,19,18.4865,19.1058,1.30564,1.33162
10,0,0,0,1,1
10,1,0.90397,1.08778,1.38564,0.906702
10,2,1.86111,2.70434,0.864165,1.06133
10,3,3.02768,3.66496,0.137813,0.873324
10,4,3.91552,3.46471,0.61003,0.59577
10,5,5.20159,5.5856,0.858192,0.118854
10,6,5.98035,6.14968,1.26235,1.16724
10,7,7.28657,7.05565,0.850101,1.78147
10,8,8.24989,8.50327,0.985942,1.09017
10,9,8.3422,9.36409,0.870385,1.55643
10,10,10.3373,10.3383,1.18621,1.55182
10,11,11.2736,10.8254,1.06517,1.2626
10,12,11.6904,12.362,0.961285,0.84194
10,13,13.0154,12.3907,0.360328,1.16843
10,14,14.0936,13.4041,1.24472,1.28498
10,15,15.0736,15.6033,1.37374,0.869974
10,16,16.0695,15.8149,0.884168,0.987482
10,17,17.1907,17.1597,1.22572,1.19676
10,18,18.1731,17.4108,0.476686,0.579743
10,19,19.1802,18.8843,1.22473,0.991568
11,0,0,0,1,1
11,1,1.28056,1.14484,0.885194,1.54672
11,2,2.34254,1.98958,1.20031,1.47786
11,3,2.89076,3.20497,1.00451,0.916092
11,4,4.11364,3.9992,1.46939,1.23714
11,5,4.94161,4.65983,1.06702,1.12232
11,6,6.04548,6.25032,1.09685,1.10998
11,7,7.10884,6.86748,0.63405,1.32048
11,8,7.3876,7.95574,1.23034,1.127
11,9,8.60102,8.70131,1.18816,1.53895
11,10,9.71387,9.91262,1.20969,0.897039
11,11,11.1688,11.1248,1.43385,0.436703
11,12,11.8041,12.2983,0.621728,1.26457
11,13,13.1211,12.8654,1.33895,1.63842
11,14,13.9093,13.948,1.09831,0.927201
11,15,15.4443,14.717,0.888273,1.05412
11,16,16.2419,15.8137,0.669501,1.2089
11,17,17.5374,17.4637,1.11879,0.633733
11,18,18.0975,18.1734,0.987799,0.671718
11,19,18.6137,19.4993,0.719463,1.13982
12,0,0,0,1,1
12,1,0.779725,0.757628,0.969994,0.0636751
12,2,1.51396,1.62943,1.07443,1.12766
12,3,3.14831,2.95698,1.25179,1.5193
12,4,4.34205,4.40038,1.09861,1.0121
12,5,5.68542,4.81092,1.31655,0.719452
12,6,6.57236,6.11287,1.0423,0.611411
12,7,7.10209,6.67805,0.602296,0.845246
12,8,8.2267,7.72923,1.11779,1.09258
12,9,8.8481,8.97583,0.942655,1.0955
12,10,10.4528,9.28739,1.35681,1.14356
12,11,11.2272,10.8925,1.32968,1.02207
12,12,12.6357,11.8587,1.18459,1.04267
12,13,13.3307,12.7501,0.97425,0.790809
12,14,13.5521,13.6927,1.01664,1.35138
12,15,15.1705,15.2437,0.820997,1.16452
12,16,16.1264,15.7717,1.1144,1.13105
12,17,16.527,17.0847,0.511188,1.49369
12,18,17.3239,18.3624,1.73914,0.730275
12,19,19.2909,18.9445,0.74167,2.12535
13,0,0,0,1,1
13,1,1.06923,1.56072,0.67233,0.781175
13,2,1.63883,2.35097,0.284281,0.744888
13,3,2.62351,3.0352,1.06285,0.949994
13,4,4.09566,3.57628,0.834158,0.575065
13,5,4.65805,4.76412,1.02337,0.51484
13,6,5.9721,6.26278,1.03125,1.11729
13,7,7.11764,6.88572,0.63157,1.0605
13,8,7.52538,7.9694,0.0105018,0.44492
13,9,9.52619,8.44243,1.11308,1.00248
13,10,10.0754,10.0685,0.393018,1.22419
13,11,11.0156,10.4454,0.751381,0.888011
13,12,12.2713,12.3211,1.41256,1.1138
13,13,12.8224,12.7911,0.981527,1.18289
13,14,14.0514,14.3299,1.12472,0.779536
13,15,14.9696,15.1339,0.255884,0.753486
13,16,15.5091,16.3087,1.1332,1.39663
13,17,17.2673,17.1469,0.934735,1.23633
13,18,18.014,17.6882,1.39976,0.935179
13,19,18.961,18.4748,1.3461,0.785647
14,0,0,0,1,1
14,1,1.54915,0.519865,0.817966,0.74959
14,2,2.41866,2.08716,1.26305,1.14969
14,3,3.07044,3.19672,1.50933,0.669543
14,4,4.15018,3.74271,1.45554,1.25786
14,5,4.68276,4.56657,0.803099,1.33299
14,6,5.54393,5.58974,0.848854,1.14778
14,7,7.36584,7.01433,0.779885,0.786851
14,8,7.83458,8.37187,1.42096,1.05678
14,9,8.82064,9.08849,0.803308,1.06925
14,10,9.98006,9.8585,0.173807,0.267959
14,11,10.4741,10.5323,1.10353,1.53902
14,12,11.7899,11.9587,1.31045,0.776319
14,13,12.5742,13.1098,1.03636,0.732179
14,14,13.1293,14.089,1.02102,0.999817
14,15,15.3291,14.4903,1.12053,1.15318
14,16,16.2382,16.0489,0.994609,1.18522
14,17,17.2653,17.3415,1.00234,0.988536
14,18,17.9066,17.8486,1.21207,1.20507
14,19,18.9003,18.8733,1.13706,1.37037
15,0,0,0,1,1
15,1,1.50259,1.35639,0.0761234,0.74932
15,2,1.5924,2.38442,1.35297,1.15882
15,3,2.6364,2.74916,1.06403,1.38334
15,4,3.77596,3.10505,0.866586,1.27055
15,5,5.37594,4.91955,0.804326,1.11817
15,6,6.154,5.58246,1.27553,1.04451
15,7,6.84095,7.27675,0.570736,0.158859
15,8,8.17753,8.56645,1.00113,1.13174
15,9,9.50726,8.67129,1.26114,0.886153
15,10,9.91551,9.92873,1.24813,1.31069
15,11,10.6744,10.9356,1.01062,1.05871
15,12,12.1839,11.9575,0.881764,0.697171
15,13,12.8779,12.9142,0.769521,0.694766
15,14,13.7913,14.0892,1.19493,0.572522
15,15,15.6504,15.3425,0.822618,1.18959
15,16,15.7607,15.8301,1.441,0.572763
15,17,17.3066,17.0907,1.42731,1.11242
15,18,18.1202,18.8042,0.69008,1.08287
15,19,18.8131,18.6242,1.14145,1.68189
16,0,0,0,1,1
16,1,0.545689,1.05838,0.874128,1.29714
16,2,1.84714,1.5783,0.871133,1.24279
16,3,3.07629,3.25769,0.703441,0.869101
16,4,3.7191,4.25758,1.21935,1.01802
16,5,4.97607,5.2987,1.40184,0.743511
16,6,6.31664,6.08726,1.0809,0.188013
16,7,6.60225,6.72051,1.21948,1.08911
16,8,7.80739,7.6469,0.999007,1.08197
16,9,8.63185,8.33019,1.46152,0.546141
16,10,9.65677,10.0408,0.783046,1.09432
16,11,11.1554,11.2604,1.27305,1.08317
16,12,11.7038,12.3728,0.68018,0.365083
16,13,12.4638,12.8111,1.54953,1.2964
16,14,13.9398,14.1513,0.661377,1.3232
16,15,15.2786,15.1083,0.959489,0.530352
16,16,15.7628,16.2243,1.15287,1.06927
16,17,16.9437,16.8917,1.17431,0.713279
16,18,17.6536,17.9398,1.21292,1.72993
16,19,19.2701,18.8712,1.11959,1.14055
17,0,0,0,1,1
17,1,1.16507,1.36592,0.981192,1.08823
17,2,2.10442,2.04703,1.04405,0.552561
17,3,3.25286,3.45198,1.02361,1.27063
17,4,4.10319,4.05409,1.53364,1.33789
17,5,4.48277,4.85641,0.847609,1.02592
17,6,5.67303,5.66707,0.618366,0.593955
17,7,7.19332,7.2669,0.927682,0.674943
17,8,7.92982,8.31989,0.976347,0.491829
17,9,9.14329,9.30471,0.617489,1.68372
17,10,10.1657,9.79012,1.33414,1.30825
17,11,11.0563,11.3074,1.59965,0.866586
17,12,11.981,12.1305,1.17288,1.05447
17,13,13.1366,12.7176,1.38781,0.896963
17,14,13.7504,13.5506,1.47629,1.28079
17,15,14.9348,15.3722,0.979769,0.334523
17,16,15.6047,16.2694,1.08762,1.11512
17,17,16.9376,16.5141,0.789428,1.66794
17,18,17.943,18.1253,1.81014,1.26081
17,19,18.7224,19.4823,1.06647,0.580928
18,0,0,0,1,1
18,1,1.23448,1.28183,1.42959,1.23457
18,2,2.06389,2.52219,1.05877,1.12393
18,3,3.03857,2.5764,0.977664,1.10973
18,4,4.266,3.96238,1.12256,0.953908
18,5,4.16234,5.02427,1.0097,0.636972
18,6,6.24955,5.72168,0.866933,0.960559
18,7,7.20237,6.77889,1.02769,0.119158
18,8,8.08264,8.27582,1.53973,1.02554
18,9,8.90046,9.48114,1.10405,0.999822
18,10,9.81353,10.4658,1.02004,1.15718
18,11,11.3746,10.6875,0.964611,0.913737
18,12,11.9607,12.0029,0.448966,0.59492
18,13,13.0705,12.8709,1.15916,1.00157
18,14,14.1234,14.3172,1.02087,1.44013
18,15,14.8881,14.8374,1.23676,0.605772
18,16,16.1387,15.8456,1.0783,0.752345
18,17,17.1065,17.2203,1.18784,1.14337
18,18,17.8727,17.9977,1.07033,1.07305
18,19,18.4842,19.2741,1.24098,1.18616
19,0,0,0,1,1
19,1,0.80507,1.97033,0.511272,1.10101
19,2,2.13024,2.05529,1.23656,0.982508
19,3,3.08201,2.93758,1.03612,0.808697
19,4,3.21132,4.34971,0.537868,1.25501
19,5,5.19598,5.16487,0.876378,1.27748
19,6,6.15932,5.73562,1.06579,0.87505
19,7,6.63365,7.23185,1.56,1.24798
19,8,8.11227,7.98664,0.767275,0.865818
19,9,8.51547,9.29412,1.28022,1.24644
19,10,9.69403,10.2466,0.921374,1.59765
19,11,11.3518,10.8117,0.89922,1.1282
19,12,12.2284,12.3322,0.606691,1.22615
19,13,13.0964,12.3241,1.19485,1.02872
19,14,14.0929,13.8613,1.10083,0.926548
19,15,15.0387,14.842,1.10445,1.12036
19,16,15.7219,16.2443,0.51398,0.899726
19,17,16.7556,16.448,0.525755,1.33726
19,18,18.288,17.6457,0.99605,1.55967
19,19,18.7371,18.4215,0.930642,1.85724
20,0,0,0,1,1
20,1,0.41774,1.74372,1.56665,0.869123
20,2,1.89247,2.19133,0.288297,1.22995
20,3,3.04021,3.24293,1.15066,1.26777
20,4,4.94984,3.89336,0.608618,0.850871
20,5,4.95075,5.55523,0.906956,0.830894
20,6,5.91585,6.07984,1.11257,0.456012
20,7,7.25568,7.33651,1.22898,0.932455
20,8,7.66837,7.73582,0.665758,0.381572
20,9,8.82429,9.09407,0.828987,1.1557
20,10,9.72167,9.98328,0.867773,0.763122
20,11,10.6795,11.5003,1.73179,0.521913
20,12,12.4548,11.9825,1.46772,1.37255
20,13,13.9778,13.1777,1.43868,0.70457
20,14,13.8358,13.6764,0.859204,1.54708
20,15,14.4174,14.743,0.747862,0.776554
20,16,16.2077,15.9511,1.06803,0.63356
20,17,17.2501,17.3481,1.07198,0.933141
20,18,17.5228,17.6052,1.05428,0.417882
20,19,18.5392,18.7576,0.729348,0.799972
21,0,0,0,1,1
21,1,0.879932,0.996519,1.25333,1.21925
21,2,2.27232,2.27542,0.967954,0.727824
21,3,3.02468,3.30187,0.956141,1.0845
21,4,4.2464,4.14007,1.03072,1.44563
21,5,5.19549,5.01291,0.645087,0.776128
21,6,5.98412,5.97939,0.708675,1.17162
21,7,7.28893,6.79168,1.33398,0.912426
21,8,8.2205,8.20598,1.34292,1.37647
21,9,9.36829,9.43866,1.13891,0.989141
21,10,10.3989,10.3589,1.23538,1.27828
21,11,10.8546,11.4944,0.780634,1.09306
21,12,12.0083,12.0998,0.907954,0.585221
21,13,12.6562,12.8287,1.263,0.517
21,14,13.6179,14.6381,1.07593,0.93861
21,15,15.2738,14.819,0.922791,1.1022
21,16,16.0186,16.3135,1.02557,0.819718
21,17,16.8597,17.4495,1.4634,1.6966
21,18,18.1048,18.3099,0.754051,0.930465
21,19,19.4695,19.3964,1.77268,1.09169
22,0,0,0,1,1
22,1,1.09105,1.47775,0.872106,1.26497
22,2,2.31328,2.09941,1.0944,1.04719
22,3,3.02745,3.40257,1.02662,1.18416
22,4,4.17225,4.35156,1.27761,0.8358
22,5,5.23116,5.09106,1.15439,0.701641
22,6,5.97649,5.7647,0.984061,0.852452
22,7,6.91215,7.34671,1.28502,1.04056
22,8,7.95616,8.05718,1.36714,0.834765
22,9,8.89277,9.26492,1.33164,1.07819
22,10,9.13312,10.4079,1.34599,0.784147
22,11,10.6241,11.4062,1.11205,0.694596
22,12,12.0143,11.8662,0.853182,0.56332
22,13,12.7675,13.1267,0.516186,1.07522
22,14,14.0618,13.7712,0.656634,1.15644
22,15,14.8148,15.4188,1.21461,0.6993
22,16,15.6538,16.0292,1.0773,1.06204
22,17,17.4431,16.6049,0.891241,1.32459
22,18,18.2939,18.1146,0.584651,0.887755
22,19,19.3527,19.1406,1.13588,0.303388
23,0,0,0,1,1
23,1,1.11876,1.26628,0.621454,0.413079
23,2,2.6074,2.30098,1.48564,0.923534
23,3,3.02691,2.9127,0.868403,1.23428
23,4,3.89728,3.89125,1.44435,0.490017
23,5,5.49994,5.37377,1.57117,0.783711
23,6,6.14511,6.07415,1.01743,1.27633
23,7,7.64638,6.92336,1.08334,0.506838
23,8,7.93314,8.07566,1.02879,1.17773
23,9,9.29863,9.42279,0.544429,0.633103
23,10,9.88557,10.198,0.859515,1.054
23,11,10.7701,11.2149,0.533761,0.923865
23,12,11.895,11.9445,1.43416,1.16181
23,13,12.8128,12.8499,0.65402,0.978434
23,14,13.831,14.1876,1.09392,1.65935
23,15,14.8671,14.5896,1.5836,1.44395
23,16,15.339,16.1552,1.17855,1.16759
23,17,16.7289,17.1945,0.560731,0.799281
23,18,17.7958,18.0008,0.464489,0.624524
23,19,19.3403,18.8925,1.28301,0.875275
24,0,0,0,1,1
24,1,0.801933,0.735668,0.747682,0.63386
24,2,2.05642,1.64831,0.865353,0.94448
24,3,2.7645,2.70968,1.01739,0.810894
24,4,3.72228,4.2167,1.49832,0.993822
24,5,4.95594,4.97915,0.723018,1.00192
24,6,5.35676,5.92958,0.800629,0.492929
24,7,7.62408,6.77637,0.917983,1.69388
24,8,7.78034,7.60308,0.482464,1.23127
24,9,8.35449,9.32258,1.53665,0.829528
24,10,9.75395,10.1254,1.51215,1.41945
24,11,11.083,11.5137,1.15944,0.991935
24,12,11.9078,11.7236,0.504127,1.21139
24,13,12.9958,12.7892,0.453036,0.376374
24,14,13.6821,13.9307,0.81461,0.570635
24,15,14.9583,14.1692,1.09682,0.597412
24,16,15.8618,15.7289,0.669452,1.51606
24,17,17.1688,16.9826,0.790273,0.788644
24,18,18.0928,17.706,0.716189,0.709946
24,19,18.5849,18.9948,0.841527,0.593138
25,0,0,0,1,1
25,1,1.34043,1.12123,0.851917,1.12229
25,2,2.07301,2.04465,1.01845,1.40783
25,3,2.95556,2.57327,1.03186,0.626299
